id,workflow,file,section_header,instruction_excerpt,purpose,problem_solved,likely_introduced_when,also_enforced_by,duplicated_in,category,confidence,still_necessary,token_est,notes
"ctx-hard-constraints","Shared Context","lib/ai/prompts/context.ts","HARD CONSTRAINTS","Write in project language/tone. Never forbidden_claims or product_is_not. Output single valid JSON, no prose/fences.","Truth + schema violations","hallucination / invalid JSON","Early package generation","checkContentPackageGuardrails; schema validators","CREATIVE SAFETY; Attention safety","Critical","High","Yes — keep compact form","55","Foundational safety"
"ctx-website-link-rules","Shared Context","lib/ai/prompts/context.ts","WEBSITE / LINK RULES","Use canonical URL only where platform allows; never invent/shorten URL; never put URL in voiceover/image_prompts; per-platform link rules.","Fake/leaked URLs; ad-feeling links","hallucinated URLs / platform misuse","Website URL & CTA Usage V1","partial platform caption checks","PLATFORM STYLES CTAs","Important","High","Yes until URL validators exist","220","Large static block"
"ctx-pain-point-first","Shared Context","lib/ai/prompts/context.ts","PAIN POINT FIRST","Central topic MUST anchor to real pain points; details support only; 80/20 primary vs supporting; trends must connect to a pain.","Drift to minor details as main topic","off-pain storytelling","Pain Point First V1 (audit-driven)","soft strategy validation only","PACKAGE DIVERSITY pain focus; strategy Rules","Critical","High","Yes","280","Explicitly added after audit"
"ctx-proof-rules","Shared Context","lib/ai/prompts/context.ts","PROOF POOL / RULES","Use proof only when relevant; optional; never invent/alter numbers; avoid repeating same proof across items.","Fake metrics; proof spam","hallucinated stats","Proof pool feature","QUOTE/STATISTIC payload validators; guardrails phrases","CREATIVE SAFETY; STATISTIC rules","Important","High","Yes (compact)","70",""
"ctx-scenario-rules","Shared Context","lib/ai/prompts/context.ts","SCENARIO POOL / RULES","Scenarios optional inspiration; rotate; adapt to topic; never invent facts; never copy scenario verbatim as a claim.","Generic content; false claims","scenario misuse","Scenario pool","antiRepetition memory scenarios","PACKAGE DIVERSITY; package rulesLine","Conflicting","High","Partially — conflicts with rulesLine verbatim","65","CONFLICT with pkg-rules-line"
"ctx-anti-repetition","Shared Context","lib/ai/prompts/context.ts","ANTI-REPETITION MEMORY","Do not reuse listed hooks/CTAs/topics/scenarios; only repeat with strong reason.","Near-duplicate packages","repetition","Anti-repetition memory","vetoInventedConcepts; fingerprint loaders","direction memory; ideation memory; series context","Critical","High","Yes at one stage only","80","Duplicated across engine stages"
"strat-system","Weekly Strategy","lib/ai/prompts/contentStrategyPlan.ts","PRODUCTION_STRATEGY_SYSTEM","Funnel stages Awareness→Conversion; never Conversion-only; prefer evergreen/trend IDs; never invent UUIDs; Product Brain when lists empty.","Bad funnel mix; invented IDs","validation / consistency","Production strategy path","checkContentStrategyPlanGuardrails; checkContentPlanSources; checkContentPlanFunnelDiversity","WEEKLY_STRATEGY_SYSTEM","Critical","High","Yes","95",""
"strat-topic-source","Weekly Strategy","lib/ai/prompts/contentStrategyPlan.ts","TOPIC SOURCE","Each item must have evergreen_topic_id OR trend_id from lists (or Product Brain-only); never invent IDs.","Orphan topics; fake UUIDs","validation","Source ID enforcement","checkContentPlanSources","system + TASK rules","Critical","High","Yes (one place)","120","Redundant within strategy prompt"
"strat-funnel-mix","Weekly Strategy","lib/ai/prompts/contentStrategyPlan.ts","CONTENT CONTROLS (funnel mix)","Approximate project funnel mix across content_plan items.","Conversion-skewed runs","consistency","Content controls","checkContentPlanFunnelDiversity","weekly CONTENT CONTROLS","Important","High","Yes (compact)","45",""
"strat-service-mix","Weekly Strategy","lib/projects/serviceMix.ts","SERVICE MIX","Soft topic distribution across services; topic selection only; not CTA/facts/schedule.","Over-focus on one service line","repetition","Multi-service projects","(prompt-only)","(strategy only)","Useful","Medium","Optional","90",""
