id,workflow,category,roi,token_est,exec_frequency_per_completed_package,monthly_cost_est_100_pkgs_usd,monthly_cost_est_500_pkgs_usd,maintenance_burden,measurable_quality_improvement,deletion_risk,recommendation
"ctx-hard-constraints","Shared Context","Critical","High","55","3.5","0.0578","0.2888","Low","Yes — tied to known failure modes","High","Keep; do not duplicate elsewhere"
"ctx-website-link-rules","Shared Context","Important","Medium","220","3.5","0.2310","1.1550","Medium","Partial / hard to isolate","Medium","Thin; move per-platform rules to platform generator config"
"ctx-pain-point-first","Shared Context","Critical","High","280","3.5","0.2940","1.4700","Medium","Yes — tied to known failure modes","High","Keep; consider Product Brain config flag"
"ctx-proof-rules","Shared Context","Important","High","70","3.5","0.0735","0.3675","Low","Yes — tied to known failure modes","Medium","Keep once; delete presentation echoes"
"ctx-scenario-rules","Shared Context","Conflicting","Medium","65","3.5","0.0683","0.3412","Medium","Partial / hard to isolate","Medium","Resolve C4: either inspiration-only OR verbatim field contract"
"ctx-anti-repetition","Shared Context","Critical","High","80","3.5","0.0840","0.4200","Medium","Yes — tied to known failure modes","Medium","Keep once upstream; remove downstream echoes"
"strat-system","Weekly Strategy","Critical","High","95","0.125","0.0036","0.0178","Low","Yes — tied to known failure modes","High","Keep; schema already backs it"
"strat-topic-source","Weekly Strategy","Critical","High","120","0.125","0.0045","0.0225","Low","Yes — tied to known failure modes","Medium","Keep in TASK only; drop triple restatement"
"strat-funnel-mix","Weekly Strategy","Important","High","45","0.125","0.0017","0.0084","Low","Yes — tied to known failure modes","Low","Keep; validator is source of truth"
"strat-service-mix","Weekly Strategy","Useful","Low","90","0.125","0.0034","0.0169","Low","Unknown / low isolation","Low","Candidate to move to config weights"
"dir-system","Direction","Critical","High","45","1","0.0135","0.0675","Low","Yes — tied to known failure modes","High","Keep"
"dir-what-is","Direction","Important","Medium","80","1","0.0240","0.1200","Low","Partial / hard to isolate","Medium","Merge into system; drop example laundry list"
"dir-hard-requirements","Direction","Critical","High","90","1","0.0270","0.1350","Low","Yes — tied to known failure modes","High","Keep"
"dir-memory","Direction","Important","High","55","1","0.0165","0.0825","Low","Yes — tied to known failure modes","Medium","Keep; remove later echoes"
"direval-system","Direction Evaluation","Critical","High","40","1","0.0120","0.0600","Low","Yes — tied to known failure modes","High","Keep"
